A,B,C,D,E,F,G
H,O_Um421,47,GVWFISHPCDXNRVU,3238,112,INOMZYINCCISUCQ
B,T_Fe134,138,WWWKZNUKKOCVLDA,1596,174,JIBGCETMMPEQHUC
D,Y_A13Fm,827,HBCWMFSNHTNNSOF,4930,149,BGRMWMMUMEFOBGL
C,X_MM42e,469,GCCIJFZZLUSNZKR,4774,162,KAQZSSKPPWRORYW
K,R_NFT36,100,KHVFQKBBTJPBMQP,1042,149,BGRMWMMUMEFOBGL
E,K_12M34,729,LJGOQBMPLTAWZHD,1772,198,UHNHONUHHZTFLGT
K,R_NFT36,725,PXGPTCHULHWPELF,1663,171,WOTRJPNMGQSJCKW
K,R_NFT36,213,AZVXUIYPGMHNZXJ,3035,181,CBKMUWJEKWNROTY
G,U_oAo12,307,ILISBJAVSODTASL,4070,181,CBKMUWJEKWNROTY
D,Y_A13Fm,385,NHYVTTIDXFYADCF,3470,209,OXMMZOZDYYWVGJG
K,R_NFT36,647,PNAWBSQVYHBMFPO,2332,149,BGRMWMMUMEFOBGL
H,O_Um421,785,RPCNHBECGNSCRLO,4427,209,OXMMZOZDYYWVGJG
G,U_oAo12,582,VIYZJRMURLLANOL,4368,179,PKOSWZVLMXMTLZW
H,O_Um421,347,PAVNWKHMTBVVNWB,2369,198,UHNHONUHHZTFLGT
H,O_Um421,725,PXGPTCHULHWPELF,3075,121,WWICVCDUHUKZAWN
C,X_MM42e,419,OHXGDSVDHPGJGAO,3495,181,CBKMUWJEKWNROTY
F,T_xEfV1,54,EYDZXNGJGPZNZVI,4308,149,BGRMWMMUMEFOBGL
A,X_10fMM,163,WJEQCQKJKVCRYMJ,1903,174,JIBGCETMMPEQHUC
C,X_MM42e,492,FBBYTXBZSXXEFLG,3455,198,UHNHONUHHZTFLGT
D,Y_A13Fm,583,QDMHXFMKFQWMNUF,1381,153,OLNSTYUIIIGYSSL
H,O_Um421,38,IORHSTMRDEJEBPU,2461,181,CBKMUWJEKWNROTY
D,Y_A13Fm,295,EDJEGYBIQYVBXOA,4770,208,DPQLFVEHBGGKXGX
K,R_NFT36,659,SDHVERSRFEVGPNA,4278,210,LCZQWSYFTCTBQUI
H,O_Um421,148,NOCWJPTSKUMKXVK,2554,112,INOMZYINCCISUCQ
F,T_xEfV1,81,ODZTDFJYPUEVZXZ,2379,179,PKOSWZVLMXMTLZW
B,T_Fe134,384,NDGVSOYSBRMIQLD,4815,174,JIBGCETMMPEQHUC
G,U_oAo12,384,NDGVSOYSBRMIQLD,1813,121,WWICVCDUHUKZAWN
F,T_xEfV1,390,CHVNCVKDEMWMRPE,1674,208,DPQLFVEHBGGKXGX
C,X_MM42e,669,NOQPNJDENANCVAR,1628,209,OXMMZOZDYYWVGJG
E,K_12M34,659,SDHVERSRFEVGPNA,4532,181,CBKMUWJEKWNROTY
K,R_NFT36,150,EPGRUBMPZPBYLHC,3064,179,PKOSWZVLMXMTLZW
K,R_NFT36,583,QDMHXFMKFQWMNUF,2453,181,CBKMUWJEKWNROTY
H,O_Um421,822,SKVFPHPLCMNHQPE,1500,149,BGRMWMMUMEFOBGL
B,T_Fe134,863,YEESBRKROXSGSQS,4734,162,KAQZSSKPPWRORYW
E,K_12M34,697,GHVMMFKKKMDGWBO,3068,179,PKOSWZVLMXMTLZW
C,X_MM42e,838,ZLOCESNXHIZOOUL,3541,121,WWICVCDUHUKZAWN
A,X_10fMM,518,FOLRHQUMXSELBYM,3848,153,OLNSTYUIIIGYSSL
A,X_10fMM,27,FCHGPOTLBXXKTOB,3280,209,OXMMZOZDYYWVGJG
F,T_xEfV1,859,DYGGIROHJBJBGMC,1707,162,KAQZSSKPPWRORYW
H,O_Um421,47,GVWFISHPCDXNRVU,4986,197,BNSCSXOJWAFTTVS
A,X_10fMM,431,PGRSPDOMBBGLRYP,3214,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,852,WJILXXFLHVEIIVG,2214,181,CBKMUWJEKWNROTY
E,K_12M34,929,MZZSOCSUGSTUXPF,3750,149,BGRMWMMUMEFOBGL
B,T_Fe134,379,TUHOMJTPLRKEYQA,4610,215,QWJKGTTBATEWAHN
B,T_Fe134,662,ODFURYFINNMQPUJ,1550,208,DPQLFVEHBGGKXGX
E,K_12M34,385,NHYVTTIDXFYADCF,3483,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,64,WWDVEEYMDMTQDAH,3357,162,KAQZSSKPPWRORYW
D,Y_A13Fm,20,ILQLMBISHNQTVFK,4654,162,KAQZSSKPPWRORYW
F,T_xEfV1,785,RPCNHBECGNSCRLO,2177,112,INOMZYINCCISUCQ
A,X_10fMM,113,JXFGSVBQNNEUMCJ,4453,197,BNSCSXOJWAFTTVS
F,T_xEfV1,385,NHYVTTIDXFYADCF,2987,121,WWICVCDUHUKZAWN
B,T_Fe134,674,AFNIOPRUNAKVQOO,4058,179,PKOSWZVLMXMTLZW
F,T_xEfV1,84,HLLIUTIMRUMRQDK,2325,112,INOMZYINCCISUCQ
D,Y_A13Fm,568,HFPDEYWZGYHHSJP,2894,121,WWICVCDUHUKZAWN
C,X_MM42e,518,FOLRHQUMXSELBYM,2364,171,WOTRJPNMGQSJCKW
F,T_xEfV1,650,UWIGXJDOHPGZKOC,1391,153,OLNSTYUIIIGYSSL
E,K_12M34,810,PGYACUGIRYNMCBE,3914,153,OLNSTYUIIIGYSSL
G,U_oAo12,929,MZZSOCSUGSTUXPF,3396,162,KAQZSSKPPWRORYW
H,O_Um421,990,JAHPMDXMTWJIEDT,3083,149,BGRMWMMUMEFOBGL
E,K_12M34,798,USPSEOSELIAAPUD,4997,149,BGRMWMMUMEFOBGL
K,R_NFT36,368,HXUBRLHKGOBUJKR,1672,162,KAQZSSKPPWRORYW
K,R_NFT36,38,IORHSTMRDEJEBPU,1681,153,OLNSTYUIIIGYSSL
E,K_12M34,149,LFUFLBFHQUOERLG,1334,153,OLNSTYUIIIGYSSL
G,U_oAo12,384,NDGVSOYSBRMIQLD,3759,198,UHNHONUHHZTFLGT
E,K_12M34,785,RPCNHBECGNSCRLO,1880,208,DPQLFVEHBGGKXGX
B,T_Fe134,159,KBCJRMNZUDVGIQH,4389,153,OLNSTYUIIIGYSSL
F,T_xEfV1,84,HLLIUTIMRUMRQDK,2526,121,WWICVCDUHUKZAWN
K,R_NFT36,413,BYLODPSXBFMLHFU,3345,198,UHNHONUHHZTFLGT
K,R_NFT36,305,USKWCWUANJKSPOV,1100,198,UHNHONUHHZTFLGT
H,O_Um421,14,OOMARJWTOWJFXLM,2458,162,KAQZSSKPPWRORYW
H,O_Um421,81,ODZTDFJYPUEVZXZ,2421,197,BNSCSXOJWAFTTVS
B,T_Fe134,647,PNAWBSQVYHBMFPO,2128,174,JIBGCETMMPEQHUC
K,R_NFT36,672,LTFQSCEYRBVKUAP,1555,210,LCZQWSYFTCTBQUI
H,O_Um421,729,LJGOQBMPLTAWZHD,2034,210,LCZQWSYFTCTBQUI
F,T_xEfV1,952,VURNASZCCMBGFMH,4870,112,INOMZYINCCISUCQ
H,O_Um421,810,PGYACUGIRYNMCBE,1629,174,JIBGCETMMPEQHUC
B,T_Fe134,826,GJBZRUMIQLQFNCZ,4508,171,WOTRJPNMGQSJCKW
F,T_xEfV1,822,SKVFPHPLCMNHQPE,4323,210,LCZQWSYFTCTBQUI
K,R_NFT36,385,NHYVTTIDXFYADCF,1412,171,WOTRJPNMGQSJCKW
H,O_Um421,100,KHVFQKBBTJPBMQP,3856,153,OLNSTYUIIIGYSSL
G,U_oAo12,305,USKWCWUANJKSPOV,3280,121,WWICVCDUHUKZAWN
F,T_xEfV1,307,ILISBJAVSODTASL,2555,171,WOTRJPNMGQSJCKW
H,O_Um421,568,HFPDEYWZGYHHSJP,1466,171,WOTRJPNMGQSJCKW
K,R_NFT36,810,PGYACUGIRYNMCBE,4594,215,QWJKGTTBATEWAHN
D,Y_A13Fm,295,EDJEGYBIQYVBXOA,4805,162,KAQZSSKPPWRORYW
G,U_oAo12,859,DYGGIROHJBJBGMC,2318,162,KAQZSSKPPWRORYW
C,X_MM42e,852,WJILXXFLHVEIIVG,3529,209,OXMMZOZDYYWVGJG
K,R_NFT36,674,AFNIOPRUNAKVQOO,4339,215,QWJKGTTBATEWAHN
H,O_Um421,582,VIYZJRMURLLANOL,4499,174,JIBGCETMMPEQHUC
F,T_xEfV1,583,QDMHXFMKFQWMNUF,3851,181,CBKMUWJEKWNROTY
H,O_Um421,583,QDMHXFMKFQWMNUF,3278,181,CBKMUWJEKWNROTY
B,T_Fe134,441,IYRXKIAZTRFRADI,1601,209,OXMMZOZDYYWVGJG
H,O_Um421,546,AASZXWXFJTNTKNX,2890,162,KAQZSSKPPWRORYW
B,T_Fe134,163,WJEQCQKJKVCRYMJ,3501,208,DPQLFVEHBGGKXGX
A,X_10fMM,96,TDGZPEQTLFGJQCV,3812,208,DPQLFVEHBGGKXGX
K,R_NFT36,863,YEESBRKROXSGSQS,3331,208,DPQLFVEHBGGKXGX
F,T_xEfV1,643,HOSFKFOMXMCHXPL,1834,162,KAQZSSKPPWRORYW
F,T_xEfV1,150,EPGRUBMPZPBYLHC,1539,198,UHNHONUHHZTFLGT
F,T_xEfV1,659,SDHVERSRFEVGPNA,2904,208,DPQLFVEHBGGKXGX
A,X_10fMM,27,FCHGPOTLBXXKTOB,3713,179,PKOSWZVLMXMTLZW
K,R_NFT36,940,XQCNPCOHYWSQVFY,1716,197,BNSCSXOJWAFTTVS
